id;advertisement_expenses;expenses;income;date;business_id
700;17376;22540;996509;2020-05-01;140
701;19068;45681;943713;2020-01-01;141
702;23458;82598;990604;2020-02-01;141
703;21614;98644;145149;2020-03-01;141
704;24362;46592;53722;2020-04-01;141
705;10288;11378;701287;2020-05-01;141
706;22033;81402;559764;2020-01-01;142
707;7855;95920;585422;2020-02-01;142
708;10377;83005;810755;2020-03-01;142
709;14781;40941;452869;2020-04-01;142
710;11925;68913;700340;2020-05-01;142
711;11902;22289;843883;2020-01-01;143
712;21452;58492;91437;2020-02-01;143
713;1722;89777;768578;2020-03-01;143
714;12138;96421;961315;2020-04-01;143
715;16363;93596;491308;2020-05-01;143
716;5067;78346;403023;2020-01-01;144
717;1956;59974;492828;2020-02-01;144
718;21762;97404;569472;2020-03-01;144
719;13635;57380;13171;2020-04-01;144
720;9863;47731;801070;2020-05-01;144
721;14846;40583;317754;2020-01-01;145
722;19534;19479;150432;2020-02-01;145
723;5628;74784;366325;2020-03-01;145
724;5484;72492;49894;2020-04-01;145
725;3690;42613;414478;2020-05-01;145
726;24039;75121;382474;2020-01-01;146
727;22390;19257;763854;2020-02-01;146
728;17985;32300;407265;2020-03-01;146
729;24431;95942;815808;2020-04-01;146
730;21768;37237;106490;2020-05-01;146
731;16682;63138;595137;2020-01-01;147
732;21099;32155;694935;2020-02-01;147
733;661;93331;498511;2020-03-01;147
734;15706;73973;260302;2020-04-01;147
735;21019;51094;938657;2020-05-01;147
736;4200;54790;702706;2020-01-01;148
737;14363;30203;311253;2020-02-01;148
738;12435;66949;497147;2020-03-01;148
739;19065;36429;777845;2020-04-01;148
740;6685;34016;906285;2020-05-01;148
741;23270;40612;973323;2020-01-01;149
742;14595;71232;45835;2020-02-01;149
743;18386;80864;689514;2020-03-01;149
744;9801;89591;284740;2020-04-01;149
745;13861;13074;108344;2020-05-01;149
746;4279;68104;587826;2020-01-01;150
747;13107;38693;579449;2020-02-01;150
748;12491;60521;423065;2020-03-01;150
749;7342;77934;112261;2020-04-01;150
750;17796;25305;626879;2020-05-01;150
751;12674;53772;344881;2020-01-01;151
752;12002;69197;916573;2020-02-01;151
753;4268;17912;663751;2020-03-01;151
754;20510;56208;831229;2020-04-01;151
755;11543;48075;662105;2020-05-01;151
756;21626;38649;180887;2020-01-01;152
757;3917;97526;121396;2020-02-01;152
758;10812;61280;778939;2020-03-01;152
759;24702;94123;141664;2020-04-01;152
760;4307;88417;39953;2020-05-01;152
761;1382;32867;255423;2020-01-01;153
762;8697;57716;860632;2020-02-01;153
763;16822;30368;845528;2020-03-01;153
764;1880;11248;180469;2020-04-01;153
765;17482;67035;423721;2020-05-01;153
766;12027;78560;914684;2020-01-01;154
767;17762;24271;833025;2020-02-01;154
768;16177;36500;166286;2020-03-01;154
769;3217;78870;270662;2020-04-01;154
770;16271;35091;348266;2020-05-01;154
771;10170;36628;859974;2020-01-01;155
772;1051;28522;472872;2020-02-01;155
773;13035;31357;691286;2020-03-01;155
774;17637;26858;597535;2020-04-01;155
775;19768;58415;580837;2020-05-01;155
776;1001;73690;534524;2020-01-01;156
777;11308;55542;144840;2020-02-01;156
778;24738;37820;902809;2020-03-01;156
779;1121;44198;870660;2020-04-01;156
780;10380;85998;969345;2020-05-01;156
781;17475;50032;177781;2020-01-01;157
782;1930;57836;333421;2020-02-01;157
783;9723;61448;639630;2020-03-01;157
784;18376;28314;781851;2020-04-01;157
785;6458;48500;558660;2020-05-01;157
786;13693;79593;568079;2020-01-01;158
787;5014;69158;465255;2020-02-01;158
788;20183;77766;418100;2020-03-01;158
789;23980;82017;28274;2020-04-01;158
790;24600;14840;597705;2020-05-01;158
791;12719;79986;146945;2020-01-01;159
792;22555;12793;899527;2020-02-01;159
793;7812;60931;678219;2020-03-01;159
794;21051;10165;906620;2020-04-01;159
795;684;14250;538627;2020-05-01;159
796;13328;70573;223348;2020-01-01;160
797;8728;29764;780618;2020-02-01;160
798;9907;27615;411448;2020-03-01;160
799;10113;56740;255624;2020-04-01;160
800;19583;65374;110230;2020-05-01;160
801;20593;87395;612856;2020-01-01;161
802;6780;78828;918383;2020-02-01;161
803;14954;90358;84800;2020-03-01;161
804;14334;55791;899728;2020-04-01;161
805;21107;71263;209369;2020-05-01;161
806;11238;66641;262379;2020-01-01;162
807;20052;35229;613099;2020-02-01;162
808;7077;22018;899004;2020-03-01;162
809;23615;60847;307845;2020-04-01;162
810;3720;39143;551510;2020-05-01;162
811;12542;83205;202686;2020-01-01;163
812;18569;46342;481104;2020-02-01;163
813;16476;10882;969493;2020-03-01;163
814;9226;52921;881899;2020-04-01;163
815;2460;31419;529484;2020-05-01;163
816;10447;64000;361221;2020-01-01;164
817;4886;99859;508915;2020-02-01;164
818;22478;74231;913516;2020-03-01;164
819;12484;28199;336151;2020-04-01;164
820;15053;78652;837790;2020-05-01;164
821;9350;48854;676599;2020-01-01;165
822;12005;76381;266912;2020-02-01;165
823;7756;46995;660769;2020-03-01;165
824;23440;13684;777619;2020-04-01;165
825;10333;86910;35651;2020-05-01;165
826;4300;42945;185272;2020-01-01;166
827;11168;95201;307230;2020-02-01;166
828;8185;22179;654688;2020-03-01;166
829;7563;38388;86286;2020-04-01;166
830;16907;99401;215856;2020-05-01;166
831;11924;23858;606122;2020-01-01;167
832;20144;69279;328496;2020-02-01;167
833;511;24487;716331;2020-03-01;167
834;16933;12226;16688;2020-04-01;167
835;22950;60401;454598;2020-05-01;167
836;2096;75851;420665;2020-01-01;168
837;12090;97598;684708;2020-02-01;168
838;1147;48826;542433;2020-03-01;168
839;9450;19022;904671;2020-04-01;168
840;2520;29731;280748;2020-05-01;168
841;10553;54247;809587;2020-01-01;169
842;18758;91538;568908;2020-02-01;169
843;20677;25994;443207;2020-03-01;169
844;24530;35597;420738;2020-04-01;169
845;11244;18894;508295;2020-05-01;169
846;971;33268;180966;2020-01-01;170
847;13454;59240;641069;2020-02-01;170
848;19229;47907;919340;2020-03-01;170
849;5682;64758;712646;2020-04-01;170
850;3331;44696;676680;2020-05-01;170
851;12387;56680;539476;2020-01-01;171
852;13690;82590;794984;2020-02-01;171
853;18970;23997;479950;2020-03-01;171
854;18526;93260;673612;2020-04-01;171
855;3951;11672;262611;2020-05-01;171
856;17889;50109;921365;2020-01-01;172
857;18174;90806;787702;2020-02-01;172
858;6774;78895;185320;2020-03-01;172
859;20862;70452;799951;2020-04-01;172
860;23096;73792;540744;2020-05-01;172
861;14803;82170;983584;2020-01-01;173
862;6752;32958;899978;2020-02-01;173
863;8030;96291;576513;2020-03-01;173
864;12373;97308;166806;2020-04-01;173
865;18781;33125;143925;2020-05-01;173
866;16346;34373;341664;2020-01-01;174
867;16363;36348;317007;2020-02-01;174
868;861;10647;35670;2020-03-01;174
869;19717;86465;352170;2020-04-01;174
870;12698;97192;961142;2020-05-01;174
871;14349;16204;472391;2020-01-01;175
872;16501;23802;362817;2020-02-01;175
873;8423;20490;578273;2020-03-01;175
874;14460;68092;951086;2020-04-01;175
875;24579;42834;828888;2020-05-01;175
876;22392;84025;173782;2020-01-01;176
877;16353;31348;203052;2020-02-01;176
878;7961;13015;118453;2020-03-01;176
879;9924;77463;868628;2020-04-01;176
880;24510;98986;705508;2020-05-01;176
881;19397;38890;36730;2020-01-01;177
882;4993;88515;846392;2020-02-01;177
883;10903;59542;457447;2020-03-01;177
884;22994;23156;520603;2020-04-01;177
885;16617;10805;740457;2020-05-01;177
886;22376;65706;783971;2020-01-01;178
887;4980;59758;618452;2020-02-01;178
888;3256;65999;213175;2020-03-01;178
889;3161;58214;529608;2020-04-01;178
890;24780;73497;472591;2020-05-01;178
891;7686;31642;852987;2020-01-01;179
892;2905;31846;427064;2020-02-01;179
893;12733;67980;612877;2020-03-01;179
894;16854;45075;596717;2020-04-01;179
895;12198;16379;201124;2020-05-01;179
896;10279;84645;944693;2020-01-01;180
897;22350;67698;688779;2020-02-01;180
898;12736;56585;151583;2020-03-01;180
899;23144;59610;518928;2020-04-01;180
900;21098;42411;788184;2020-05-01;180
901;13544;50691;428315;2020-01-01;181
902;9996;26017;210689;2020-02-01;181
903;8931;94949;304468;2020-03-01;181
904;4728;40080;51174;2020-04-01;181
905;8694;89906;527952;2020-05-01;181
906;3082;24834;707649;2020-01-01;182
907;18993;42997;679127;2020-02-01;182
908;17409;18944;937119;2020-03-01;182
909;8648;91115;94577;2020-04-01;182
910;2606;40666;657954;2020-05-01;182
911;17793;41110;273494;2020-01-01;183
912;15161;65413;194962;2020-02-01;183
913;19917;30806;807099;2020-03-01;183
914;8465;24065;662868;2020-04-01;183
915;13552;54275;333644;2020-05-01;183
916;22562;80461;716570;2020-01-01;184
917;24513;35395;355049;2020-02-01;184
918;18790;58562;737207;2020-03-01;184
919;6851;21563;765597;2020-04-01;184
920;11257;58868;316564;2020-05-01;184
921;21737;20829;143990;2020-01-01;185
922;13411;57707;859576;2020-02-01;185
923;21085;16981;505419;2020-03-01;185
924;23939;88458;266436;2020-04-01;185
925;16651;64394;210334;2020-05-01;185
926;19056;85069;430950;2020-01-01;186
927;580;12684;578884;2020-02-01;186
928;684;87608;791469;2020-03-01;186
929;15277;90357;730236;2020-04-01;186
930;19483;49267;945595;2020-05-01;186
931;437;20597;900829;2020-01-01;187
932;16161;13887;587989;2020-02-01;187
933;1722;51842;215199;2020-03-01;187
934;2357;14164;56658;2020-04-01;187
935;24316;23412;692168;2020-05-01;187
936;6009;55333;976757;2020-01-01;188
937;7299;11279;987880;2020-02-01;188
938;1220;96485;285921;2020-03-01;188
939;2695;15753;272536;2020-04-01;188
940;3450;26846;961372;2020-05-01;188
941;20258;79318;913805;2020-01-01;189
942;12139;47986;408408;2020-02-01;189
943;17520;14780;423883;2020-03-01;189
944;7674;62076;124949;2020-04-01;189
945;4257;33202;857666;2020-05-01;189
946;13858;80689;331487;2020-01-01;190
947;24741;75281;860661;2020-02-01;190
948;15514;21027;668086;2020-03-01;190
949;7066;17638;666469;2020-04-01;190
950;14588;84654;913725;2020-05-01;190
951;4463;99471;211181;2020-01-01;191
952;24227;63038;257196;2020-02-01;191
953;15929;73481;966334;2020-03-01;191
954;22823;83801;492463;2020-04-01;191
955;16390;99092;360471;2020-05-01;191
956;13678;79168;634993;2020-01-01;192
957;5652;11331;292581;2020-02-01;192
958;24006;57359;121554;2020-03-01;192
959;23063;90763;803765;2020-04-01;192
960;9285;51822;282968;2020-05-01;192
961;10116;78281;189269;2020-01-01;193
962;14805;38960;225049;2020-02-01;193
963;714;78343;405084;2020-03-01;193
964;14992;52706;827585;2020-04-01;193
965;19749;78908;270116;2020-05-01;193
966;8786;29695;314195;2020-01-01;194
967;19080;19233;145552;2020-02-01;194
968;17204;90165;798027;2020-03-01;194
969;21760;87614;211328;2020-04-01;194
970;18124;17720;852341;2020-05-01;194
971;10830;58029;934147;2020-01-01;195
972;2594;91317;20406;2020-02-01;195
973;14207;52864;785715;2020-03-01;195
974;8170;67289;695162;2020-04-01;195
975;4766;28741;681381;2020-05-01;195
976;9899;79316;64290;2020-01-01;196
977;10360;73363;475379;2020-02-01;196
978;8485;27666;909007;2020-03-01;196
979;9734;98686;534969;2020-04-01;196
980;18197;73660;44196;2020-05-01;196
981;18693;97985;419341;2020-01-01;197
982;13374;50694;954439;2020-02-01;197
983;18227;17697;209699;2020-03-01;197
984;6108;29998;927324;2020-04-01;197
985;22184;79970;775187;2020-05-01;197
986;14406;34945;125879;2020-01-01;198
987;1198;28741;96413;2020-02-01;198
988;16059;33089;463300;2020-03-01;198
989;1819;86477;471183;2020-04-01;198
990;3773;72084;649791;2020-05-01;198
991;21382;57646;196526;2020-01-01;199
992;23881;96444;348426;2020-02-01;199
993;78;24223;934055;2020-03-01;199
994;8709;63290;386056;2020-04-01;199
995;9619;39162;302375;2020-05-01;199
996;5986;25360;135088;2020-01-01;200
997;17086;22571;233069;2020-02-01;200
998;12986;26579;310513;2020-03-01;200
999;10211;95705;963188;2020-04-01;200
1000;806;59399;75420;2020-05-01;200
