id;date_of_order;date_of_delivery;customer_id
776;2020-01-02;2020-01-30;148
777;2020-01-01;2020-01-10;164
778;2020-01-05;2020-01-16;23
779;2020-01-06;2020-01-30;57
780;2020-01-01;2020-01-19;77
781;2020-01-06;2020-01-19;183
782;2020-01-06;2020-01-15;200
783;2020-01-03;2020-01-09;27
784;2020-01-01;2020-01-30;6
785;2020-01-04;2020-01-15;122
786;2020-01-04;2020-01-11;16
787;2020-01-05;2020-01-19;10
788;2020-01-02;2020-01-17;63
789;2020-01-04;2020-01-17;20
790;2020-01-02;2020-01-14;54
791;2020-01-02;2020-01-28;184
792;2020-01-06;2020-01-25;79
793;2020-01-02;2020-01-09;199
794;2020-01-04;2020-01-27;133
795;2020-01-02;2020-01-13;169
796;2020-01-01;2020-01-22;105
797;2020-01-03;2020-01-27;180
798;2020-01-05;2020-02-03;196
799;2020-01-04;2020-01-19;40
800;2020-01-04;2020-01-28;138
801;2020-01-04;2020-01-21;112
802;2020-01-04;2020-01-11;24
803;2020-01-02;2020-01-31;102
804;2020-01-02;2020-01-11;8
805;2020-01-06;2020-01-24;76
806;2020-01-01;2020-01-23;103
807;2020-01-06;2020-01-18;52
808;2020-01-01;2020-01-31;192
809;2020-01-05;2020-02-02;124
810;2020-01-01;2020-01-12;45
811;2020-01-05;2020-01-11;162
812;2020-01-06;2020-01-15;167
813;2020-01-06;2020-01-25;28
814;2020-01-01;2020-01-29;196
815;2020-01-03;2020-01-11;105
816;2020-01-05;2020-01-25;144
817;2020-01-01;2020-01-10;46
818;2020-01-02;2020-01-12;133
819;2020-01-04;2020-01-21;181
820;2020-01-01;2020-01-29;48
821;2020-01-05;2020-01-19;150
822;2020-01-02;2020-01-31;116
823;2020-01-01;2020-01-28;23
824;2020-01-05;2020-02-03;79
825;2020-01-03;2020-01-19;66
826;2020-01-01;2020-01-10;180
827;2020-01-04;2020-01-19;55
828;2020-01-06;2020-01-28;43
829;2020-01-04;2020-01-24;62
830;2020-01-06;2020-02-04;144
831;2020-01-03;2020-01-17;104
832;2020-01-04;2020-01-16;83
833;2020-01-01;2020-01-25;98
834;2020-01-05;2020-01-08;118
835;2020-01-02;2020-01-19;118
836;2020-01-05;2020-01-17;109
837;2020-01-02;2020-01-28;87
838;2020-01-01;2020-01-29;139
839;2020-01-04;2020-01-17;116
840;2020-01-01;2020-01-09;147
841;2020-01-02;2020-01-12;25
842;2020-01-01;2020-01-12;2
843;2020-01-04;2020-01-17;52
844;2020-01-05;2020-02-03;63
845;2020-01-06;2020-02-05;162
846;2020-01-01;2020-01-14;32
847;2020-01-06;2020-01-23;105
848;2020-01-05;2020-01-14;44
849;2020-01-06;2020-01-18;9
850;2020-01-03;2020-01-25;92
851;2020-01-02;2020-01-27;179
852;2020-01-04;2020-01-24;128
853;2020-01-01;2020-01-16;184
854;2020-01-01;2020-01-19;159
855;2020-01-04;2020-01-09;57
856;2020-01-06;2020-01-11;18
857;2020-01-04;2020-01-25;155
858;2020-01-01;2020-01-11;94
859;2020-01-01;2020-01-05;155
860;2020-01-02;2020-01-28;98
861;2020-01-02;2020-01-19;80
862;2020-01-05;2020-01-12;136
863;2020-01-05;2020-02-04;39
864;2020-01-02;2020-01-12;17
865;2020-01-06;2020-01-13;12
866;2020-01-02;2020-01-08;62
867;2020-01-03;2020-01-06;149
868;2020-01-01;2020-01-23;91
869;2020-01-06;2020-01-21;159
870;2020-01-02;2020-01-18;179
871;2020-01-01;2020-01-12;117
872;2020-01-03;2020-01-11;19
873;2020-01-05;2020-01-21;156
874;2020-01-05;2020-01-10;177
875;2020-01-01;2020-01-12;101
876;2020-01-01;2020-01-19;9
877;2020-01-04;2020-01-07;10
878;2020-01-06;2020-02-01;35
879;2020-01-02;2020-01-22;92
880;2020-01-06;2020-02-01;98
881;2020-01-01;2020-01-13;28
882;2020-01-04;2020-01-12;79
883;2020-01-05;2020-01-21;146
884;2020-01-01;2020-01-13;80
885;2020-01-06;2020-01-15;141
886;2020-01-03;2020-01-12;118
887;2020-01-03;2020-01-09;181
888;2020-01-03;2020-01-17;109
889;2020-01-03;2020-01-13;30
890;2020-01-03;2020-01-20;182
891;2020-01-06;2020-01-31;187
892;2020-01-01;2020-01-24;193
893;2020-01-04;2020-01-13;147
894;2020-01-04;2020-01-08;32
895;2020-01-01;2020-01-08;177
896;2020-01-04;2020-01-22;189
897;2020-01-06;2020-02-03;102
898;2020-01-01;2020-01-16;77
899;2020-01-02;2020-01-24;170
900;2020-01-03;2020-01-28;44
901;2020-01-06;2020-01-20;50
902;2020-01-04;2020-01-12;105
903;2020-01-03;2020-01-11;27
904;2020-01-05;2020-01-19;137
905;2020-01-06;2020-01-10;194
906;2020-01-04;2020-02-02;35
907;2020-01-01;2020-01-06;64
908;2020-01-04;2020-01-22;121
909;2020-01-01;2020-01-08;194
910;2020-01-05;2020-01-28;115
911;2020-01-03;2020-01-18;166
912;2020-01-03;2020-01-23;128
913;2020-01-05;2020-02-03;56
914;2020-01-05;2020-01-08;186
915;2020-01-01;2020-01-21;43
916;2020-01-06;2020-01-14;60
917;2020-01-04;2020-01-09;43
918;2020-01-04;2020-01-16;79
919;2020-01-05;2020-01-26;7
920;2020-01-03;2020-01-09;197
921;2020-01-02;2020-01-21;51
922;2020-01-04;2020-01-24;89
923;2020-01-04;2020-02-02;114
924;2020-01-06;2020-01-12;2
925;2020-01-01;2020-01-21;92
926;2020-01-02;2020-01-09;187
927;2020-01-02;2020-01-10;105
928;2020-01-01;2020-01-21;49
929;2020-01-03;2020-01-30;128
930;2020-01-05;2020-01-16;83
931;2020-01-05;2020-01-13;143
932;2020-01-06;2020-02-03;9
933;2020-01-06;2020-02-04;119
934;2020-01-03;2020-01-18;147
935;2020-01-03;2020-01-23;141
936;2020-01-02;2020-01-27;149
937;2020-01-03;2020-01-25;41
938;2020-01-06;2020-01-15;2
939;2020-01-02;2020-01-05;86
940;2020-01-01;2020-01-24;40
941;2020-01-04;2020-02-03;183
942;2020-01-01;2020-01-24;92
943;2020-01-01;2020-01-31;153
944;2020-01-05;2020-01-18;56
945;2020-01-01;2020-01-04;50
946;2020-01-04;2020-01-08;145
947;2020-01-03;2020-01-23;106
948;2020-01-05;2020-01-31;152
949;2020-01-01;2020-01-20;83
950;2020-01-02;2020-01-05;89
951;2020-01-01;2020-01-28;92
952;2020-01-04;2020-01-24;18
953;2020-01-02;2020-01-17;54
954;2020-01-05;2020-01-18;13
955;2020-01-06;2020-02-04;85
956;2020-01-01;2020-01-23;162
957;2020-01-03;2020-01-12;69
958;2020-01-03;2020-02-01;60
959;2020-01-06;2020-01-23;7
960;2020-01-02;2020-01-31;14
961;2020-01-04;2020-01-10;56
962;2020-01-06;2020-02-01;1
963;2020-01-05;2020-02-03;44
964;2020-01-06;2020-01-14;135
965;2020-01-06;2020-01-30;57
966;2020-01-03;2020-01-08;144
967;2020-01-06;2020-01-23;124
968;2020-01-04;2020-01-31;199
969;2020-01-04;2020-01-21;27
970;2020-01-02;2020-02-01;157
971;2020-01-02;2020-01-18;147
972;2020-01-05;2020-01-15;116
973;2020-01-06;2020-02-02;48
974;2020-01-03;2020-01-19;176
975;2020-01-04;2020-01-10;94
976;2020-01-05;2020-01-30;27
977;2020-01-06;2020-02-05;41
978;2020-01-06;2020-01-27;76
979;2020-01-01;2020-01-12;148
980;2020-01-03;2020-01-06;127
981;2020-01-06;2020-02-05;82
982;2020-01-06;2020-01-19;104
983;2020-01-04;2020-01-23;167
984;2020-01-02;2020-01-31;161
985;2020-01-03;2020-01-26;29
986;2020-01-02;2020-01-15;94
987;2020-01-02;2020-01-21;3
988;2020-01-06;2020-01-25;13
989;2020-01-04;2020-01-15;89
990;2020-01-02;2020-01-18;58
991;2020-01-06;2020-01-30;15
992;2020-01-05;2020-01-21;94
993;2020-01-06;2020-01-27;76
994;2020-01-04;2020-01-12;38
995;2020-01-02;2020-01-22;133
996;2020-01-02;2020-01-27;169
997;2020-01-02;2020-01-17;30
998;2020-01-01;2020-01-10;32
999;2020-01-02;2020-01-23;9
1000;2020-01-01;2020-01-09;100
